year,value,units,variable_code
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 4,CC212,"Clothing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 3,CC31,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 4,CC311,Wood Product Manufacturing
2023,Level 3,CC32,"Pulp
2023,Level 3,CC32,"Pulp
